,iata,iso,name,continent,type,lat,lon,size,status
3674,RCL,VU,Redcliffe Airport,OC,airport,-27.207035,153.07333,small,1
3675,SON,VU,Santo Pekoa International Airport,OC,airport,-15.508251,167.21873,medium,1
3676,TGH,VU,Tongoa Island Airport,OC,airport,-16.90361,168.54666,small,1
3677,ULB,VU,,OC,airport,-16.416668,168.33333,small,1
3678,VLS,VU,Valesdir Airport,OC,airport,-16.8,168.2,small,1
3679,WLH,VU,Walaha Airport,OC,airport,-15.416667,167.7,small,1
3680,SWJ,VU,Southwest Bay Airport,OC,airport,-16.25,167.16667,small,1
3681,OLJ,VU,North West Santo Airport,OC,airport,-14.884605,166.56003,small,1
3682,AUY,VU,Anelghowhat Airport,OC,airport,-20.333332,169.66667,small,1
3683,AWD,VU,Aniwa Airport,OC,airport,-19.25,169.5,small,1
3684,DLY,VU,Dillon's Bay Airport,OC,airport,-18.7,169.15,small,1
3685,FTA,VU,Futuna Airport,OC,airport,-19.416668,170.25,small,1
3686,IPA,VU,Ipota Airport,OC,airport,-18.75,169.18333,small,1
3687,UIQ,VU,Quion Hill Airport,OC,airport,-17.0,168.16667,small,1
3688,VLI,VU,Port Vila Bauerfield Airport,OC,airport,-17.701853,168.3195,medium,1
3689,TAH,VU,Tanna Airport,OC,airport,-19.458445,169.22821,medium,1
3690,TGJ,NC,Tiga Airport,OC,airport,-21.098358,167.80293,medium,1
3691,BMY,NC,,OC,airport,-19.75,163.66667,medium,1
3692,KNQ,NC,,OC,airport,-21.053333,164.83778,medium,1
3693,ILP,NC,,OC,airport,-22.589722,167.4475,medium,1
3694,HLU,NC,Nesson Airport,OC,airport,-21.033333,166.06667,small,1
3695,KOC,NC,Koumac Airport,OC,airport,-20.5,164.41667,medium,1
3696,LIF,NC,Lifou Airport,OC,airport,-20.766666,167.25,medium,1
3697,GEA,NC,,OC,airport,-22.260536,166.47078,medium,1
3698,IOU,NC,,OC,airport,-22.463888,166.78305,small,1
3699,PUV,NC,Poum Airport,OC,airport,-20.294443,164.1014,small,1
