,iata,iso,name,continent,type,lat,lon,size,status
0,UTK,MH,Utirik Airport,OC,airport,11.233333,169.86667,small,1
1,FIV,US,Five Finger CG Heliport,NA,heliport,,,,1
2,FAK,US,False Island Seaplane Base,NA,seaplanes,,,,1
3,BWS,US,Blaine Municipal Airport,NA,closed,,,,0
4,WKK,US,Aleknagik / New Airport,NA,airport,59.27778,-158.61111,medium,1
5,TSS,US,East 34th Street Heliport,NA,heliport,,,,1
6,FOB,US,Fort Bragg Airport,NA,airport,39.474445,-123.79444,small,1
7,ABP,PG,Atkamba Airport,OC,airport,-6.066667,141.1,small,1
8,ALV,AD,Andorra la Vella Heliport,EU,heliport,,,,1
9,ADC,PG,Andakombe Airport,OC,airport,-7.133333,145.73334,small,1
10,TJP,PR,Areopuerto Internacional Michael Gonzalez,NA,airport,18.010702,-66.563545,large,1
11,AEE,SS,Adareil Airport,AF,airport,,,small,1
12,AEI,ES,Algeciras Heliport,EU,heliport,,,,1
13,AEK,PG,Aseki Airport,OC,airport,-7.366667,146.28334,small,1
14,OLR,AF,Salerno Landing Zone Airport,AS,airport,34.023167,36.130333,small,1
15,AFR,PG,Afore Airstrip,OC,airport,-9.133333,148.38333,small,1
16,AFT,SB,Afutara Aerodrome,OC,airport,-9.2,160.85,small,1
17,ATD,SB,Uru Harbour Airport,OC,airport,-8.866667,161.03334,small,1
18,VEV,SB,Barakoma Airport,OC,airport,-7.85,159.55,small,1
19,GEF,SB,Geva Airport,OC,airport,-7.578333,156.59778,small,1
20,AGG,PG,Angoram Airport,OC,airport,-4.168611,144.07388,small,1
21,AKS,SB,Auki Airport,OC,airport,-8.697778,160.68083,small,1
22,BAS,SB,Ballalae Airport,OC,airport,-6.983333,155.88333,small,1
23,FRE,SB,Fera/Maringe Airport,OC,airport,-8.1,159.58333,small,1
24,HIR,SB,Honiara International Airport,OC,airport,-9.428592,160.04819,medium,1
25,MBU,SB,Babanakira Airport,OC,airport,-9.733333,160.75,small,1
26,IRA,SB,Ngorangora Airport,OC,airport,-10.5,161.83333,small,1
27,SCZ,SB,Santa Cruz/Graciosa Bay/Luova Airport,OC,airport,-11.616667,166.85,small,1
28,MUA,SB,Munda Airport,OC,airport,-8.32794,157.26971,medium,1
29,GZO,SB,Nusatupe Airport,OC,airport,-8.116667,156.83333,small,1
30,MNY,SB,Mono Airport,OC,airport,-7.417428,155.56462,small,1
31,PRS,SB,Parasi Airport,OC,airport,-8.166667,158.0,small,1
32,OTV,SB,Ontong Java Atoll Airstrip,OC,closed,,,,0
33,RNL,SB,Rennell/Tingoa Airport,OC,airport,-11.666667,160.3,small,1
34,EGM,SB,Sege Airport,OC,airport,-8.577956,157.87506,small,1
35,RUS,SB,Marau Airport,OC,airport,-8.5,161.25,small,1
36,VAO,SB,Suavanao Airport,OC,airport,-7.566667,158.66667,small,1
37,AGK,PG,Kagua Airport,OC,airport,-6.403333,143.84666,small,1
38,KGE,SB,Kagau Island Airport,OC,airport,-8.165,157.5861,small,1
39,AGL,PG,Wanigela Airport,OC,airport,-9.340278,149.15527,small,1
40,RIN,SB,Ringi Cove Airport,OC,airport,-8.2,157.03334,small,1
41,RBV,SB,Ramata Airport,OC,airport,-8.165556,157.63945,small,1
42,AHT,US,Amchitka Army Airfield,NA,closed,,,,0
43,AHY,MG,Ambatolhy Airport,AF,airport,-20.016666,45.533333,small,1
44,AIE,PG,Aiome Airport,OC,airport,-5.166667,144.66667,small,1
45,AIH,PG,Aiambak Airport,OC,airport,-7.348611,141.26639,small,1
46,AIP,MH,Ailinglaplap Airport,OC,airport,7.266667,168.81667,small,1
47,AOS,US,Amook Bay Seaplane Base,NA,seaplanes,,,,1
48,AKM,TD,Zakuoma Airport,AF,airport,10.883333,19.816668,small,1
49,ALZ,US,Alitak Seaplane Base,NA,seaplanes,,,,1
50,AMC,MX,,NA,airport,11.033333,20.283333,large,1
51,AME,MZ,Alto Molocue Airport,AF,airport,-15.833333,37.583332,small,1
52,AMF,PG,AMA Airport,OC,airport,-4.166667,141.66667,small,1
53,AMU,PG,Amanab Airport,OC,airport,-3.516667,141.15,small,1
54,AMY,MG,Ambatomainty Airport,AF,airport,-17.683332,45.666668,small,1
55,ANH,SB,Anuha Island Resort Airport,OC,closed,,,,0
56,INU,NR,Nauru International Airport,OC,airport,-0.533333,166.91667,medium,1
57,ANL,AO,Andulo Airport,AF,airport,-11.25,17.25,small,1
58,CNZ,AO,Cangamba Airport,AF,airport,-11.5,19.0,small,1
59,DRC,AO,Dirico Airport,AF,airport,-17.833332,20.7,small,1
60,GGC,AO,Lumbala Airport,AF,airport,-12.65,22.566668,small,1
61,JMB,AO,Jamba Airport,AF,airport,-14.7,16.083332,small,1
62,KNP,AO,Capanda Airport,AF,airport,-9.766944,15.450278,small,1
63,NDF,AO,Ndalatandos Airport,AF,airport,-9.333333,14.833333,small,1
64,AOB,PG,Annanberg Airport,OC,airport,-4.916667,144.65,small,1
65,APP,PG,Asapa Airport,OC,airport,-8.983333,148.13333,small,1
66,APR,PG,April River Airport,OC,airport,-8.5,145.0,small,1
67,AQY,US,Girdwood Airport,NA,airport,60.966667,-149.11667,small,1
68,QRF,AR,Bragado Airport,SA,airport,-35.13333,-60.466667,small,1
69,CSZ,AR,Brigadier Hector Ruiz Airport,SA,airport,-37.433334,-61.88333,small,1
70,CVI,AR,Caleta Olivia Airport,SA,airport,-46.416668,-67.416664,small,1
71,CNT,AR,Charata Airport,SA,airport,-27.216667,-61.233334,small,1
72,VGS,AR,General Villegas Airport,SA,airport,-35.083332,-63.0,small,1
73,LMD,AR,Los Menucos Airport,SA,airport,-40.833332,-68.13333,small,1
74,SZQ,AR,,SA,closed,,,,0
75,VCF,AR,Valcheta Airport,SA,airport,-40.7,-66.15,small,1
76,VME,AR,Villa Mercedes Airport,SA,airport,-33.63333,-65.416664,small,1
77,NCJ,AR,Sunchales Aeroclub Airport,SA,airport,,,small,1
78,CPG,AR,Carmen De Patagones Airport,SA,airport,-40.782757,-62.979782,small,1
79,PRQ,AR,Termal Airport,SA,airport,-26.833332,-60.666668,small,1
80,ARP,PG,Aragip Airport,OC,airport,-9.8,149.5,small,1
81,TAV,AS,Tau Airport,OC,airport,-14.25,-169.45,small,1
82,ASZ,PG,Asirim Airport,OC,airport,-5.866667,150.36667,small,1
83,ATP,PG,Aitape Airport,OC,airport,-3.166667,142.28334,small,1
84,AGW,AU,Agnew Airport,OC,airport,-12.15,142.15,small,1
85,AYD,AU,Alroy Downs Airport,OC,airport,-19.3,135.95,small,1
86,BCK,AU,Bolwarra Airport,OC,airport,-17.4,144.16667,small,1
87,BFC,AU,Bloomfield Airport,OC,airport,-15.9,145.33333,small,1
88,BVW,AU,Batavia Downs Airport,OC,airport,-12.65,143.21666,small,1
89,BYX,AU,Baniyala Airport,OC,airport,-13.2,136.23334,small,1
90,COB,AU,Coolibah Airport,OC,airport,-15.55,130.93333,small,1
91,CQP,AU,Cape Flattery Airport,OC,airport,-18.2,147.5,small,1
92,CRJ,AU,Coorabie Airport,OC,airport,-31.9,132.3,small,1
93,CRY,AU,Carlton Hill Airport,OC,airport,-15.466667,128.61667,small,1
94,CSD,AU,Cresswell Downs Airport,OC,airport,-17.966667,135.91667,small,1
95,CTR,AU,Cattle Creek Airport,OC,airport,-17.583332,131.0,small,1
96,DYM,AU,Diamantina Lakes Airport,OC,airport,-26.75,139.16667,small,1
97,EDD,AU,Erldunda Airport,OC,airport,-25.25,133.2,small,1
98,EKD,AU,Elkedra Airport,OC,airport,-21.15,135.55,small,1
99,HAT,AU,Heathlands Airport,OC,airport,-19.720833,140.58333,small,1
100,HIG,AU,Highbury Airport,OC,airport,-16.416668,143.15,small,1
101,HIS,AU,Hayman Island Resort Seaplane Base,OC,seaplanes,,,,1
102,HLV,AU,Helenvale Airport,OC,airport,-15.683333,145.2,small,1
103,KBD,AU,Kimberley Downs Airport,OC,airport,-17.333332,124.35,small,1
104,KGR,AU,Kulgera Airport,OC,airport,-25.833332,133.03334,small,1
105,KOH,AU,Koolatah Airport,OC,airport,-15.966667,142.41667,small,1
106,KYF,AU,Yeelirrie Airport,OC,airport,-27.277779,120.075,small,1
107,LIB,AU,Limbunya Airport,OC,airport,-17.2,129.8,small,1
108,MNW,AU,Macdonald Downs Airport,OC,airport,-22.45,135.21666,small,1
109,MUP,AU,Mulga Park Airport,OC,airport,-31.133333,141.05,small,1
110,MWY,AU,Miranda Downs Airport,OC,airport,-25.783333,141.51666,small,1
111,MYO,AU,Camballin Airport,OC,airport,-18.116667,124.26667,small,1
112,NKB,AU,Noonkanbah Airport,OC,airport,-18.55,124.85,small,1
113,OKB,AU,Orchid Beach Airport,OC,airport,-25.25,153.16667,small,1
114,PEP,AU,Peppimenarti Airport,OC,airport,-14.15,130.1,small,1
115,RDA,AU,Rockhampton Downs Airport,OC,airport,-18.95,135.16667,small,1
116,SSK,AU,Sturt Creek Airport,OC,airport,-19.2,128.13333,small,1
117,SWB,AU,Shaw River Airport,OC,airport,-21.516666,119.36667,small,1
118,TPR,AU,Tom Price Airport,OC,airport,-22.75,117.666664,small,1
119,TWP,AU,Torwood Airport,OC,airport,-17.366667,143.75,small,1
120,WRW,AU,Warrawagine Airport,OC,airport,-20.866667,120.71667,small,1
121,WSY,AU,Whitsunday Airstrip,OC,airport,-20.502777,148.75278,small,1
122,ZVG,AU,Springvale Airport,OC,airport,-17.866667,127.583336,small,1
123,AUI,PG,Aua Island Airport,OC,airport,-1.458333,143.075,small,1
124,AUJ,PG,Ambunti Airport,OC,airport,-4.25,142.85,small,1
125,AUP,PG,Agaun Airport,OC,airport,-9.983333,149.58333,small,1
126,AUV,PG,Aumo Airport,OC,airport,-5.716667,148.43333,small,1
127,BUA,PG,Buka Airport,OC,airport,-5.422443,154.67288,medium,1
128,CMU,PG,Chimbu Airport,OC,airport,-5.993889,144.97444,medium,1
129,DAU,PG,Daru Airport,OC,airport,-9.08351,143.20605,medium,1
130,GKA,PG,Goroka Airport,OC,airport,-6.075244,145.39293,medium,1
131,GUR,PG,Gurney Airport,OC,airport,-10.310833,150.33861,medium,1
132,PNP,PG,Girua Airport,OC,airport,-8.807474,148.30873,medium,1
133,HKN,PG,Kimbe Airport,OC,airport,-5.456876,150.403,medium,1
134,LSA,PG,Losuia Airport,OC,airport,-8.363889,151.025,small,1
135,UNG,PG,Kiunga Airport,OC,airport,-6.125552,141.28601,small,1
136,KRI,PG,Kikori Airport,OC,airport,-7.483333,144.26666,small,1
137,KMA,PG,Kerema Airport,OC,airport,-7.961702,145.77155,medium,1
138,KVG,PG,Kavieng Airport,OC,airport,-2.58075,150.80653,medium,1
139,LNV,PG,Londolovit Airport,OC,airport,-3.043223,152.6272,small,1
140,MAG,PG,Madang Airport,OC,airport,-5.210852,145.78784,medium,1
141,HGU,PG,Mount Hagen Kagamuga Airport,OC,airport,-5.828767,144.29738,medium,1
142,MDU,PG,Mendi Airport,OC,airport,-6.158611,143.65,medium,1
143,MAS,PG,Momote Airport,OC,airport,-2.056667,147.42444,medium,1
144,MXH,PG,Moro Airport,OC,airport,-6.3525,143.25055,small,1
145,MIS,PG,Misima Island Airport,OC,airport,-10.5,152.84166,small,1
146,LAE,PG,Lae Nadzab Airport,OC,airport,-6.562694,146.72757,medium,1
147,POM,PG,Port Moresby Jacksons International Airport,OC,airport,-9.444308,147.21446,large,1
148,TIZ,PG,Tari Airport,OC,airport,-5.860556,142.94055,small,1
149,TBG,PG,Tabubil Airport,OC,airport,-5.274722,141.227,small,1
150,RAB,PG,Tokua Airport,OC,airport,-4.333333,152.36667,medium,1
151,AYU,PG,Aiyura Airport,OC,airport,-6.333333,145.9,small,1
152,VAI,PG,Vanimo Airport,OC,airport,-2.694722,141.30194,medium,1
153,WBM,PG,Wapenamanda Airport,OC,airport,-5.616667,143.91667,medium,1
154,WWK,PG,Wewak International Airport,OC,airport,-3.580034,143.66916,medium,1
155,AYY,LK,Arugam Bay SPB,AS,seaplanes,,,,1
156,AYZ,US,Zahn's Airport,NA,closed,,,,0
157,AZB,PG,Amazon Bay Airport,OC,airport,-10.15,148.81667,small,1
158,BCW,MZ,Benguera Island Airport,AF,airport,-21.884722,35.425,medium,1
159,HKV,BG,Haskovo Airport,EU,airport,41.933334,25.55,small,1
160,JAM,BG,Bezmer Air Base,EU,airport,42.516666,26.483334,medium,1
161,SZR,BG,Stara Zagora Airport,EU,closed,,,,0
162,JEG,GL,Aasiaat Airport,NA,airport,68.7,-52.75,medium,1
163,AAP,GL,Aappilattoq (Qaasuitsup) Heliport,NA,heliport,,,,1
164,AGM,GL,Tasiilaq Heliport,NA,heliport,,,,1
165,LLU,GL,Alluitsup Paa Heliport,NA,heliport,,,,1
166,QUV,GL,Aappilattoq (Kujalleq) Heliport,NA,heliport,,,,1
167,QUW,GL,Ammassivik Heliport,NA,heliport,,,,1
168,QGQ,GL,Attu Heliport,NA,heliport,,,,1
169,UAK,GL,Narsarsuaq Airport,NA,airport,61.166668,-45.316666,medium,1
170,JCH,GL,Qasigiannguit Heliport,NA,heliport,,,,1
171,CNP,GL,Neerlerit Inaat Airport,NA,airport,70.74306,-22.658333,small,1
172,QFG,GL,Eqalugaarsuit Heliport,NA,heliport,,,,1
173,QFN,GL,Narsaq Kujalleq Heliport,NA,heliport,,,,1
174,JFR,GL,Paamiut Heliport,NA,heliport,,,,1
175,GOH,GL,Godthaab / Nuuk Airport,NA,airport,64.181946,-51.725,medium,1
176,JGO,GL,Qeqertarsuaq Heliport,NA,heliport,,,,1
177,IKE,GL,Ikerasak Heliport,NA,heliport,,,,1
178,QFI,GL,Iginniarfik,NA,heliport,,,,1
179,XIQ,GL,Ilimanaq Heliport,NA,heliport,,,,1
180,INN,GL,Innarsuit Heliport,NA,heliport,,,,1
181,ISO,GL,Isortoq Heliport,NA,heliport,,,,1
182,QJI,GL,Ikamiut Heliport,NA,heliport,,,,1
183,JJU,GL,Qaqortoq Heliport,NA,heliport,,,,1
184,JAV,GL,Ilulissat Airport,NA,airport,69.24186,-51.05991,small,1
185,QPW,GL,Kangaatsiaq Heliport,NA,heliport,,,,1
186,KUS,GL,Kulusuk Airport,NA,airport,65.566666,-37.11667,small,1
187,UPK,GL,Upernavik Kujalleq Heliport,NA,heliport,,,,1
188,KMT,GL,Kuummiut Heliport,NA,heliport,,,,1
189,KLQ,GL,Kullorsuaq Heliport,NA,heliport,,,,1
190,KAQ,GL,Kangersuatsiaq Heliport,NA,heliport,,,,1
191,QJE,GL,Kitsissuarsuit Heliport,NA,heliport,,,,1
192,ILL,GL,Illorsuit Heliport,NA,heliport,,,,1
193,MOR,GL,Moriusaq Heliport,NA,heliport,,,,1
194,JSU,GL,Maniitsoq Airport,NA,airport,65.41244,-52.93537,small,1
195,QMK,GL,Niaqornaarsuk Heliport,NA,heliport,,,,1
196,JNN,GL,Nanortalik Heliport,NA,heliport,,,,1
197,NUG,GL,Nuugaatsiaq Heliport,NA,heliport,,,,1
198,JNS,GL,Narsaq Heliport,NA,heliport,,,,1
199,NIA,GL,Niaqornat Heliport,NA,heliport,,,,1
200,NUS,GL,Nuussuaq Heliport,NA,heliport,,,,1
201,JFR,GL,Paamiut Airport,NA,airport,62.00028,-49.70028,small,1
202,QQT,GL,Qeqertaq Heliport,NA,heliport,,,,1
203,NAQ,GL,Qaanaaq Airport,NA,airport,77.48948,-69.382996,small,1
204,OBY,GL,Ittoqqortoormiit Heliport,NA,heliport,,,,1
205,SFJ,GL,Kangerlussuaq Airport,NA,airport,67.01222,-50.719723,medium,1
206,SMG,GL,Sermiligaaq Heliport,NA,heliport,,,,1
207,SIO,GL,Siorapaluk Heliport,NA,heliport,,,,1
208,QUP,GL,Saqqaq Heliport,NA,heliport,,,,1
209,JHS,GL,Sisimiut Airport,NA,airport,66.93694,-53.704166,small,1
210,SAA,GL,Saattut Heliport,NA,heliport,,,,1
211,SAV,GL,Savissivik Heliport,NA,heliport,,,,1
212,THU,GL,Thule Air Base,NA,airport,76.53333,-68.7,medium,1
213,TNT,GL,Tiniteqilaaq Heliport,NA,heliport,,,,1
214,JUV,GL,Upernavik Airport,NA,airport,72.790276,-56.130554,small,1
215,UMD,GL,Uummannaq Heliport,NA,heliport,,,,1
216,JQA,GL,Qaarsut Airport,NA,airport,70.73194,-52.702778,small,1
217,UKK,GL,Ukkusissat Heliport,NA,heliport,,,,1
218,BHL,MX,,NA,airport,28.95,-113.55,small,1
219,AEY,IS,Akureyri Airport,EU,airport,65.654564,-18.075068,medium,1
220,BIU,IS,Bildudalur Airport,EU,airport,65.833336,-23.983334,small,1
221,BGJ,IS,,EU,airport,66.0,-14.5,small,1
222,BJD,IS,,EU,airport,66.066666,-14.75,small,1
223,BLO,IS,Hjaltabakki Airport,EU,airport,65.666664,-20.3,small,1
224,BQD,IS,,EU,airport,,,small,1
225,BXV,IS,,EU,airport,64.76667,-14.0,small,1
226,DJU,IS,,EU,airport,64.650276,-14.268333,small,1
227,EGS,IS,,EU,airport,65.27778,-14.402778,medium,1
228,FAS,IS,,EU,airport,64.95,-14.016667,small,1
229,FAG,IS,,EU,airport,63.88333,-16.65,small,1
230,GUU,IS,,EU,airport,64.96667,-23.166668,small,1
231,GJR,IS,,EU,airport,65.98333,-21.35,small,1
232,GRY,IS,,EU,airport,66.566666,-18.016666,small,1
233,HVK,IS,,EU,airport,65.7,-22.466667,small,1
234,HFN,IS,Hornafjordur Airport,EU,airport,64.28333,-15.266667,medium,1
235,FLI,IS,Holt Airport,EU,airport,65.98333,-23.7,small,1
236,HZK,IS,Husavik Airport,EU,airport,65.95528,-17.427778,medium,1
237,HVM,IS,,EU,airport,65.416664,-21.0,small,1
238,HLO,IS,,EU,airport,29.5,15.5,small,1
239,IFJ,IS,,EU,airport,66.05972,-23.132778,medium,1
240,KEF,IS,Keflavik International Airport,EU,airport,63.997765,-22.624283,large,1
241,OPA,IS,,EU,airport,66.416664,-16.483334,small,1
242,SAK,IS,,EU,airport,65.75,-19.65,small,1
243,NOR,IS,,EU,airport,65.166664,-22.0,small,1
244,OFJ,IS,,EU,airport,65.583336,-19.833332,small,1
245,PFJ,IS,Patreksfjordur Airport,EU,airport,65.03333,-19.008333,medium,1
246,RHA,IS,,EU,airport,65.166664,-21.416668,small,1
247,OLI,IS,Rif Airport,EU,airport,65.0,-23.983334,small,1
248,RFN,IS,,EU,airport,66.416664,-15.016667,small,1
249,REK,IS,Reykjavik Airport,EU,airport,,,medium,1
250,MVA,IS,,EU,airport,65.61667,-16.966667,small,1
251,SIJ,IS,Siglufjordur Airport,EU,airport,66.166664,-18.933332,medium,1
252,SYK,IS,,EU,airport,65.1,-22.8,small,1
253,TEY,IS,,EU,airport,65.88333,-23.45,small,1
254,THO,IS,,EU,closed,,,,0
255,THO,IS,Thorshofn Airport,EU,airport,66.219734,-15.335653,small,1
256,VEY,IS,Vestmannaeyjar Airport,EU,airport,63.426388,-20.277779,medium,1
257,VPN,IS,,EU,airport,65.72167,-14.846748,small,1
258,BJE,SD,Baleela Airport,AF,airport,,,small,1
259,BJQ,OM,Bahja Airport,AS,airport,,,small,1
260,PRN,KS,,EU,airport,42.573612,21.035557,large,1
261,BLM,MX,Bahia De Los Angelos South,NA,airport,40.183334,-74.01667,small,1
262,BMQ,KE,Bamburi Airport,AF,airport,-4.5,39.833332,small,1
263,RBQ,BO,Rurenabaque Airport,SA,airport,-14.45,-67.55,small,1
264,BVL,BO,Baures Airport,SA,airport,-13.583333,-63.583332,small,1
265,TUZ,BR,,SA,closed,,,,0
266,ALT,BR,Alenquer Airport,SA,closed,,,,0
267,SWM,BR,Suia-Missu Airport,SA,closed,,,,0
268,NSB,BS,Bimini North Seaplane Base,NA,seaplanes,,,,1
269,HUK,BW,Hukuntsi Airport,AF,airport,-23.983334,21.75,small,1
270,BYV,LK,Beira Lake Seaplane Base,AS,seaplanes,,,,1
271,BCV,BZ,Belmopan Airport,NA,airport,17.270498,-88.77904,small,1
272,BGK,BZ,Big Creek Airport,NA,airport,16.516666,-88.4,medium,1
273,CUK,BZ,Caye Caulker Airport,NA,airport,17.735527,-88.02956,medium,1
274,CYC,BZ,Caye Chapel Airport,NA,airport,17.666668,-88.833336,medium,1
275,CZH,BZ,Corozal Municipal Airport,NA,airport,18.382334,-88.410675,medium,1
276,DGA,BZ,Dangriga Airport,NA,airport,16.982765,-88.23039,medium,1
277,INB,BZ,Independence Airport,NA,airport,16.535536,-88.43826,small,1
278,MDB,BZ,Melinda Airport,NA,airport,16.998611,-88.32056,small,1
279,ORZ,BZ,Orange Walk Airport,NA,airport,17.166668,-88.75,small,1
280,PLJ,BZ,Placencia Airport,NA,airport,16.53708,-88.360886,medium,1
281,PND,BZ,Punta Gorda Airport,NA,airport,16.1,-88.816666,medium,1
282,SJX,BZ,Sartaneja Airport,NA,airport,18.3,-88.333336,medium,1
283,SPR,BZ,San Pedro Airport,NA,airport,17.917067,-87.96571,medium,1
284,SQS,BZ,Matthew Spain Airport,NA,airport,17.183332,-89.03333,small,1
285,STU,BZ,Santa Cruz Airport,NA,airport,18.266666,-88.45,small,1
286,SVK,BZ,Silver Creek Airport,NA,airport,16.7253,-88.34,small,1
287,TZA,BZ,Belize City Municipal Airport,NA,airport,17.51639,-88.191666,medium,1
288,BZB,MZ,Bazaruto Island Airport,AF,airport,-21.534721,35.49167,medium,1
289,YUJ,CA,Lady Franklin Point Airport,NA,closed,,,,0
290,YWO,CA,Lupin Airport,NA,closed,,,,0
291,YTJ,CA,Terrace Bay Airport,NA,closed,,,,0
292,YMV,CA,Mary River Aerodrome,NA,airport,,,small,1
293,YBW,CA,Bedwell Harbour Seaplane Base,NA,seaplanes,,,,1
294,ZNA,CA,Nanaimo Harbour Water Airport,NA,seaplanes,,,,1
295,YZZ,CA,Trail Airport,NA,airport,49.066666,-117.6,small,1
296,YWS,CA,Whistler/Green Lake Water Aerodrome,NA,seaplanes,,,,1
297,YPT,CA,Pender Harbour Seaplane Base,NA,seaplanes,,,,1
298,YAA,CA,Anahim Lake Airport,NA,airport,52.45,-125.3,small,1
299,JHL,CA,Fort MacKay/Albian Aerodrome,NA,airport,57.22389,-111.41889,small,1
300,YMU,CA,Mansons Landing Seaplane Base,NA,seaplanes,,,,1
301,YWM,CA,Williams Harbour Airport,NA,airport,52.335438,-56.01282,small,1
302,YFX,CA,St. Lewis (Fox Harbour) Airport,NA,airport,52.36667,-55.683334,small,1
303,YHA,CA,Port Hope Simpson Airport,NA,airport,52.533333,-56.3,small,1
304,YRG,CA,Rigolet Airport,NA,airport,54.333332,-58.416668,small,1
305,CDK,US,George T Lewis Airport,NA,airport,29.133333,-83.03333,small,1
306,YCK,CA,Colville Lake Airport,NA,airport,67.03993,-126.09047,small,1
307,EE7,CA,Edmonton/Cooking Lake Seaplane Base,NA,seaplanes,,,,1
308,YLE,CA,,NA,airport,63.132942,-117.24318,small,1
309,NML,CA,Fort McMurray / Mildred Lake Airport,NA,airport,,,small,1
310,DAS,CA,Great Bear Lake Airport,NA,airport,66.70306,-119.712776,small,1
311,YFI,CA,Fort Mackay / Firebag,NA,airport,,,small,1
312,OKG,CG,Okoyo Airport,AF,airport,-1.466667,15.0,small,1
313,CGA,US,Craig Seaplane Base,NA,seaplanes,,,,1
314,SUR,CA,Summer Beaver Airport,NA,airport,52.71528,-88.5475,small,1
315,YAX,CA,Wapekeka Airport,NA,airport,53.251945,-89.565,small,1
316,WNN,CA,Wunnumin Lake Airport,NA,airport,52.916668,-89.166664,small,1
317,YNO,CA,North Spirit Lake Airport,NA,airport,52.5,-92.416664,small,1
318,CLG,US,Coalinga Airport,NA,closed,,,,0
319,OHE,CN,Gu-Lian Airport,AS,airport,52.92113,122.42059,medium,1
320,FUO,CN,Foshan Shadi Airport,AS,airport,23.133333,113.28333,medium,1
321,HUZ,CN,Huizhou Airport,AS,airport,23.083332,114.36667,medium,1
322,JGS,CN,Jinggangshan Airport,AS,airport,26.899721,114.7375,medium,1
323,AEB,CN,Tian Yang Air Base,AS,airport,23.71947,106.96777,medium,1
324,AAT,CN,Altay Air Base,AS,airport,47.750362,88.08444,medium,1
325,YZY,CN,Zhangye Southeast Air Base,AS,airport,38.8075,100.660835,medium,1
326,DDG,CN,Dandong Airport,AS,airport,40.032368,124.28081,medium,1
327,NTG,CN,Nantong Airport,AS,airport,32.07292,120.9756,small,1
328,XBE,CA,Bearskin Lake Airport,NA,airport,53.95,-90.98333,small,1
329,KIF,CA,Kingfisher Lake Airport,NA,airport,53.01389,-89.85,small,1
330,YOG,CA,Ogoki Post Airport,NA,airport,51.666668,-85.916664,small,1
331,PRM,CO,Proma Heliport,SA,heliport,,,,1
332,ISG,CO,Isa Giron Heliport,SA,heliport,,,,1
333,API,CO,Apiay Airport,SA,airport,4.068889,-73.05194,small,1
334,APO,CO,,SA,airport,7.817678,-76.71766,small,1
335,ARQ,CO,El Troncal Airport,SA,airport,7.033056,-71.43166,small,1
336,LCR,CO,La Chorrera Airport,SA,airport,-0.733333,-73.01667,small,1
337,SNT,CO,Las Cruces Airport,SA,airport,7.666667,-73.0,small,1
338,TCD,CO,,SA,airport,-2.933333,-69.76667,small,1
339,YEB,CA,Bar River Airport,NA,airport,,,small,1
340,YHP,CA,Poplar Hill Airport,NA,airport,52.083332,-94.3,small,1
341,YNX,CA,Snap Lake Airport,NA,airport,,,small,1
342,YKU,CA,Chisasibi Airport,NA,airport,53.806824,-78.924065,small,1
343,ZTB,CA,,NA,airport,50.716667,-59.333332,small,1
344,YAU,CA,Donaldson Airport,NA,airport,61.662777,-73.31694,small,1
345,TR7,CA,Ottawa / Rockcliffe Seaplane Base,NA,seaplanes,,,,1
346,ZLT,CA,,NA,airport,50.828056,-58.97601,small,1
347,PST,CU,Preston Airport,NA,airport,20.75,-75.666664,small,1
348,GEC,CY,,AS,airport,35.233334,33.716667,medium,1
349,NIC,CY,Nicosia International Airport,AS,closed,,,,0
350,YAC,CA,Cat Lake Airport,NA,airport,51.716667,-91.816666,medium,1
351,YAG,CA,Fort Frances Municipal Airport,NA,airport,48.65278,-93.44722,medium,1
352,YAH,CA,La Grande-4 Airport,NA,airport,53.75,-73.65,medium,1
353,YAL,CA,Alert Bay Airport,NA,airport,50.583332,-126.916664,medium,1
354,YAM,CA,Sault Ste Marie Airport,NA,airport,46.485302,-84.49995,medium,1
355,XKS,CA,Kasabonika Airport,NA,airport,53.52,-88.64667,medium,1
356,YKG,CA,Kangirsuk Airport,NA,airport,60.023083,-70.0046,medium,1
357,YAT,CA,Attawapiskat Airport,NA,airport,52.941666,-82.4,medium,1
358,YAV,CA,Winnipeg / St. Andrews Airport,NA,airport,48.86667,-123.3,medium,1
359,YAW,CA,Halifax / CFB Shearwater Heliport,NA,heliport,,,,1
360,YAX,CA,Lac Du Bonnet Airport,NA,airport,53.251945,-89.565,medium,1
361,YAY,CA,St Anthony Airport,NA,airport,51.36667,-55.583332,medium,1
362,YAZ,CA,Tofino / Long Beach Airport,NA,airport,49.076942,-125.77639,medium,1
363,YBB,CA,Kugaaruk Airport,NA,airport,68.88333,-89.85,medium,1
364,YBC,CA,Baie Comeau Airport,NA,airport,49.2,-68.26667,medium,1
365,QBC,CA,Bella Coola Airport,NA,airport,52.333332,-126.666664,medium,1
366,YBE,CA,Uranium City Airport,NA,airport,59.566666,-108.48333,medium,1
367,YBY,CA,Bonnyville Airport,NA,airport,54.266666,-110.73333,medium,1
368,YBG,CA,CFB Bagotville,NA,airport,48.322224,-70.98861,medium,1
369,YBK,CA,Baker Lake Airport,NA,airport,64.3,-96.083336,medium,1
370,YBL,CA,Campbell River Airport,NA,airport,49.951725,-125.26813,medium,1
371,YBN,CA,CFB Borden,NA,heliport,,,,1
372,XTL,CA,Tadoule Lake Airport,NA,airport,58.707954,-98.51344,medium,1
